District,Province,Cases (%)
LAHORE,PUNJAB,0.21922
KARACHI,SINDH,0.157879
RAWALPINDI,PUNJAB,0.046736
PESHAWAR,KP,0.03549
HYDERABAD,SINDH,0.032131
GUJRAT,PUNJAB,0.02994
QUETTA,BALOCHISTAN,0.028918
MULTAN,PUNJAB,0.02848
ISLAMABAD,ISLAMABAD,0.025267
MISC,PUNJAB,0.022784
SARGODHA,PUNJAB,0.022492
SWAT,KP,0.019571
GUJRANWALA,PUNJAB,0.016211
MUZAFFARGARH,PUNJAB,0.015627
RAHIM YAR KHAN,PUNJAB,0.014021
SIALKOT,PUNJAB,0.013144
MARDAN,KP,0.012706
LODHRAN,PUNJAB,0.011976
BUNER,KP,0.011246
BHAKKAR,PUNJAB,0.008471
BAHAWALPUR,PUNJAB,0.007887
JHELUM,PUNJAB,0.007741
LOWER DIR,KP,0.007302
D G KHAN,PUNJAB,0.007156
MANSEHRA,KP,0.00701
VEHARI,PUNJAB,0.006718
BANNU,KP,0.006572
ABBOTTABAD,KP,0.006572
UPPER DIR,KP,0.006572
KURRAM AGENCY,KP,0.005988
NAGAR KHAS,GILGIT BALTISTAN,0.005842
FAISALABAD,PUNJAB,0.00555
KOHAT,KP,0.00555
GILGIT,GILGIT BALTISTAN,0.005112
SWABI,KP,0.00482
HAFIZABAD,PUNJAB,0.004674
KHYBER AGENCY,KP,0.004528
NOWSHERA,KP,0.004235
TANDO MUHAMMAD KHAN,SINDH,0.003943
ASTORE,GILGIT BALTISTAN,0.003797
CHARSADA,KP,0.003797
SHANGLA,KP,0.003797
KHUSHAB,PUNJAB,0.003797
SHEIKHUPURA,PUNJAB,0.003797
MANDI BAHAUDDIN,PUNJAB,0.003651
SUKKUR,SINDH,0.003651
NAROWAL,PUNJAB,0.003651
MALAKAND,KP,0.003213
BAJAUR,KP,0.003213
NANKANA SAHIB,PUNJAB,0.003067
ATTOCK,PUNJAB,0.002921
MIANWALI,PUNJAB,0.002921
BAHAWALNAGAR,PUNJAB,0.002921
JAFFARABAD,BALOCHISTAN,0.002629
KARAK,KP,0.002337
LAYYAH,PUNJAB,0.002337
HARIPUR,KP,0.002337
KASUR,PUNJAB,0.002337
LARKANA,SINDH,0.002191
PĀKPATTAN,PUNJAB,0.002191
BHIMBER,AJK,0.002191
MASTUNG,BALOCHISTAN,0.002191
RAJANPUR,PUNJAB,0.001899
NEW MIRPUR CITY,AJK,0.001899
DERA ISMAIL KHAN,KP,0.001753
PISHIN,BALOCHISTAN,0.001753
JHANG,PUNJAB,0.001753
KHAIRPUR,SINDH,0.001753
SANGHAR,SINDH,0.001607
SAHIWAL,PUNJAB,0.00146
LAKKI MARWAT,KP,0.00146
POONCH,AJK,0.00146
MOHMAND AGENCY,KP,0.001314
SUJAWAL,SINDH,0.001314
KABDULAH,BALOCHISTAN,0.001314
DIAMER,GILGIT BALTISTAN,0.001168
CHAKWAL,PUNJAB,0.001168
SUDHANOTI,AJK,0.001022
CHAGAI,BALOCHISTAN,0.000876
LORALAI,BALOCHISTAN,0.000876
GHOTKI,SINDH,0.000876
KHANEWAL,PUNJAB,0.000876
NUSHKI,BALOCHISTAN,0.000876
NORTH WAZIRISTAN,KP,0.000876
TOR GHAR,KP,0.00073
BADIN,SINDH,0.00073
SKARDU,GILGIT BALTISTAN,0.00073
MISC,\N,0.00073
BOLAN,BALOCHISTAN,0.00073
TOBA TEK SINGH,PUNJAB,0.00073
JACOBABAD,SINDH,0.00073
CHITRAL,KP,0.00073
ORAKZAI AGENCY,KP,0.000584
QAMBAR,SINDH,0.000584
NAUSHAHRO FEROZE,SINDH,0.000584
JAMSHORO,SINDH,0.000584
MUZAFFARABAD,AJK,0.000438
CHINIOT,PUNJAB,0.000438
OKARA,PUNJAB,0.000438
KHAPLU,GILGIT BALTISTAN,0.000438