Date,AJK,Balochistan,KPK,GB,Sindh,Punjab,ICT
"Mar 10, 2020",0,1,0,2,14,0,2
"Mar 11, 2020",0,1,0,3,14,0,2
"Mar 12, 2020",0,1,0,3,15,0,2
"Mar 13, 2020",0,6,0,3,16,0,3
"Mar 14, 2020",0,6,0,3,18,0,4
"Mar 15, 2020",0,11,0,3,34,1,4
"Mar 16, 2020",0,14,15,3,150,1,4
"Mar 17, 2020",0,15,17,3,172,26,5
"Mar 18, 2020",1,23,19,13,208,33,5
"Mar 19, 2020",1,81,23,21,238,83,10
"Mar 20, 2020",1,103,27,30,259,104,10
"Mar 21, 2020",1,104,31,55,292,152,11
"Mar 22, 2020",1,108,31,71,352,225,15
"Mar 23, 2020",1,110,38,80,399,249,15
"Mar 24, 2020",1,115,78,81,413,296,16
"Mar 25, 2020",1,131,121,84,417,323,25
"Mar 26, 2020",2,131,147,91,429,408,27
"Mar 27, 2020",2,133,180,107,457,490,36
"Mar 28, 2020",2,138,188,116,481,558,43
"Mar 29, 2020",6,144,195,128,508,593,51
"Mar 30, 2020",6,153,221,148,627,652,54
"Mar 31, 2020",6,158,253,184,676,708,54
"Apr 1, 2020",9,169,274,187,743,845,62
"Apr 2, 2020",9,169,311,190,783,920,68
"Apr 3, 2020",11,175,343,193,839,1072,75
"Apr 4, 2020",12,185,372,206,864,1163,78
"Apr 5, 2020",15,191,415,210,881,1493,82
"Apr 6, 2020",18,202,500,211,932,1918,83
"Apr 7, 2020",19,206,529,212,986,2030,92
"Apr 8, 2020",28,212,555,213,1036,2171,102
"Apr 9, 2020",33,219,617,215,1128,2279,107
"Apr 10, 2020",34,220,652,215,1214,2336,113
"Apr 11, 2020",35,228,697,216,1318,2425,119
"Apr 12, 2020",40,230,744,224,1411,2594,131
"Apr 13, 2020",43,231,800,233,1452,2826,131
"Apr 14, 2020",46,240,862,234,1518,2945,140
"Apr 15, 2020",46,280,935,237,1668,3217,145
"Apr 16, 2020",46,303,984,245,2008,3276,154
"Apr 17, 2020",48,335,1075,250,2217,3391,163
"Apr 18, 2020",48,376,1137,257,2355,3649,171
"Apr 19, 2020",49,432,1237,263,2537,3721,181
"Apr 20, 2020",50,465,1276,281,2764,4195,185
"Apr 21, 2020",51,465,1276,281,3052,4255,185