Date,New Cases,New Recoveries
"Mar 10, 2020",1,1
"Mar 11, 2020",1,1
"Mar 12, 2020",1,0
"Mar 13, 2020",7,1
"Mar 14, 2020",3,0
"Mar 15, 2020",22,0
"Mar 16, 2020",134,1
"Mar 17, 2020",51,0
"Mar 18, 2020",64,1
"Mar 19, 2020",155,0
"Mar 20, 2020",77,0
"Mar 21, 2020",112,0
"Mar 22, 2020",157,1
"Mar 23, 2020",89,0
"Mar 24, 2020",108,13
"Mar 25, 2020",102,2
"Mar 26, 2020",133,2
"Mar 27, 2020",170,2
"Mar 28, 2020",121,3
"Mar 29, 2020",99,4
"Mar 30, 2020",236,26
"Mar 31, 2020",178,24
"Apr 1, 2020",250,25
"Apr 2, 2020",161,19
"Apr 3, 2020",258,4
"Apr 4, 2020",172,40
"Apr 5, 2020",407,87
"Apr 6, 2020",577,172
"Apr 7, 2020",210,38
"Apr 8, 2020",243,105
"Apr 9, 2020",281,155
"Apr 10, 2020",186,35
"Apr 11, 2020",254,264
"Apr 12, 2020",336,69
"Apr 13, 2020",342,283
"Apr 14, 2020",269,68
"Apr 15, 2020",543,199
"Apr 16, 2020",488,120
"Apr 17, 2020",463,67
"Apr 18, 2020",514,36
"Apr 19, 2020",427,102
"Apr 20, 2020",796,96
"Apr 21, 2020",349,7